feature,appearances_in_top10,persistence_rate
adj_close,5,1.0
ix_vix_change_3m__price_returns_6m,4,0.8
price_ma_4q,4,0.8
ix_tnx_change_3m__revenue,3,0.6
days_since_start,3,0.6
tnx_yield,3,0.6
revenue,2,0.4
ix_tnx_yield__revenue,2,0.4
year,2,0.4
ix_tnx_change_3m__price_returns_6m,2,0.4
ix_tnx_yield__fcf_ttm,2,0.4
ix_tnx_yield__ocf_ttm,1,0.2
ix_vix_level__revenue,1,0.2
ix_tnx_yield__capex_ttm,1,0.2
ix_vix_change_3m__price_volatility,1,0.2
ix_vix_change_3m__price_returns_12m,1,0.2
ix_tnx_change_3m__ocf_ttm,1,0.2
ix_tnx_yield__price_volatility,1,0.2
ix_vix_level__ocf_ttm,1,0.2
ix_vix_level__capex_ttm,1,0.2
ix_vix_level__fcf_ttm,1,0.2
ix_vix_change_3m__ocf_ttm,1,0.2
ix_vix_level__price_volatility,1,0.2
ix_tnx_yield__price_returns_12m,1,0.2
ix_vix_change_3m__fcf_ttm,1,0.2
price_volatility,1,0.2
price_to_ma_4q,1,0.2
vix_level,1,0.2
tnx_change_3m,1,0.2
ocf_ttm,0,0.0
ix_tnx_change_3m__rev_accel,0,0.0
price_returns_12m,0,0.0
ix_tnx_change_3m__price_returns_1m,0,0.0
ix_tnx_change_3m__price_returns_3m,0,0.0
price_returns_6m,0,0.0
ix_tnx_change_3m__price_returns_12m,0,0.0
ix_tnx_change_3m__price_momentum,0,0.0
ix_tnx_change_3m__price_volatility,0,0.0
fcf_ttm,0,0.0
capex_ttm,0,0.0
ix_tnx_change_3m__rev_yoy,0,0.0
price_returns_3m,0,0.0
price_returns_1m,0,0.0
vix_change_3m,0,0.0
ix_tnx_change_3m__capex_ttm,0,0.0
ix_tnx_change_3m__fcf_ttm,0,0.0
rev_accel,0,0.0
rev_yoy,0,0.0
rev_qoq,0,0.0
ix_vix_change_3m__capex_ttm,0,0.0
ix_tnx_change_3m__rev_qoq,0,0.0
ix_vix_level__rev_accel,0,0.0
ix_vix_level__price_returns_1m,0,0.0
ix_vix_change_3m__price_momentum,0,0.0
ix_vix_level__price_returns_3m,0,0.0
ix_vix_level__price_returns_6m,0,0.0
ix_vix_level__price_returns_12m,0,0.0
ix_vix_level__price_momentum,0,0.0
ix_vix_level__rev_qoq,0,0.0
ix_tnx_yield__rev_yoy,0,0.0
ix_tnx_yield__rev_qoq,0,0.0
ix_tnx_yield__rev_accel,0,0.0
ix_vix_level__rev_yoy,0,0.0
ix_tnx_yield__price_returns_1m,0,0.0
ix_tnx_yield__price_returns_3m,0,0.0
ix_tnx_yield__price_returns_6m,0,0.0
month,0,0.0
ix_tnx_yield__price_momentum,0,0.0
quarter,0,0.0
ix_vix_change_3m__rev_yoy,0,0.0
ix_vix_change_3m__rev_qoq,0,0.0
ix_vix_change_3m__rev_accel,0,0.0
ix_vix_change_3m__revenue,0,0.0
ix_vix_change_3m__price_returns_1m,0,0.0
ix_vix_change_3m__price_returns_3m,0,0.0
price_momentum,0,0.0
