feature,mdi_importance
ix_tnx_change_3m__price_returns_6m,0.1443684628571529
days_since_start,0.05672008576140543
ix_vix_change_3m__price_returns_6m,0.05141196886181664
ix_tnx_yield__capex_ttm,0.0322201104495923
ix_tnx_change_3m__rev_accel,0.03037025518202529
ix_tnx_change_3m__revenue,0.025693133823685575
ix_vix_level__price_returns_12m,0.02422033052812778
adj_close,0.023568750625163074
ix_vix_change_3m__rev_accel,0.021371484089227833
ix_tnx_change_3m__price_returns_12m,0.018709868223694782
tnx_yield,0.01810789567845035
ix_tnx_yield__rev_yoy,0.017974430031716258
ix_vix_change_3m__fcf_ttm,0.01699692586843681
ix_vix_change_3m__rev_yoy,0.016442287031784714
ix_vix_level__rev_yoy,0.01564333403252738
capex_ttm,0.015017044723504647
price_ma_4q,0.014449341986493908
ix_tnx_yield__price_volatility,0.014101161210718185
ocf_ttm,0.013779431098622287
vix_level,0.01367601932449141
rev_yoy,0.013387754275726743
ix_vix_change_3m__rev_qoq,0.01317275478252647
ix_tnx_yield__revenue,0.012802579160174778
ix_tnx_yield__ocf_ttm,0.01256259808105317
ix_tnx_change_3m__fcf_ttm,0.012249875865159288
ix_vix_change_3m__price_returns_12m,0.01212386378046028
ix_tnx_change_3m__price_returns_3m,0.011594326211244507
ix_tnx_change_3m__capex_ttm,0.011450096002172455
year,0.010626893900829567
ix_vix_change_3m__ocf_ttm,0.01051595641275425
ix_vix_change_3m__capex_ttm,0.010512709674452085
ix_vix_change_3m__price_returns_3m,0.010414363320220468
price_returns_12m,0.00997489769311075
ix_vix_level__capex_ttm,0.009778549414495496
ix_vix_level__revenue,0.009507633451376214
ix_tnx_yield__rev_accel,0.009351326291341135
ix_vix_change_3m__price_momentum,0.009260145812122663
ix_vix_change_3m__price_volatility,0.009224661389660885
price_volatility,0.00910819536191692
ix_tnx_yield__fcf_ttm,0.008778142246359491
price_to_ma_4q,0.008456900816259723
ix_tnx_change_3m__ocf_ttm,0.008418772386301388
ix_vix_level__price_volatility,0.008089783754957206
ix_tnx_change_3m__price_returns_1m,0.007992547721732352
ix_tnx_yield__price_returns_6m,0.007978447993202091
ix_tnx_yield__price_returns_12m,0.007933348749634497
ix_tnx_change_3m__price_momentum,0.00778023571610473
price_returns_6m,0.007744070370714144
revenue,0.007698507014742617
month,0.0075739243669924895
ix_vix_level__price_returns_6m,0.00736171179595801
ix_tnx_change_3m__price_volatility,0.007260979407238033
tnx_change_3m,0.007157407849216368
ix_vix_change_3m__revenue,0.007054576155571374
rev_accel,0.006776946445919747
ix_vix_level__ocf_ttm,0.006604372564835362
fcf_ttm,0.0065751801917028055
vix_change_3m,0.005953142627851974
ix_tnx_change_3m__rev_yoy,0.00538523831665361
ix_vix_level__rev_qoq,0.005312544474560761
ix_tnx_change_3m__rev_qoq,0.00531059250392594
rev_qoq,0.0052924939256447446
ix_tnx_yield__rev_qoq,0.005258630997776073
ix_vix_change_3m__price_returns_1m,0.005021939778898486
ix_vix_level__rev_accel,0.004847858039236143
ix_vix_level__fcf_ttm,0.0044471672763629014
quarter,0.002947033225220518
price_returns_1m,0.0026708207705027956
ix_vix_level__price_returns_3m,0.002497712978113258
ix_vix_level__price_momentum,0.002437245427568576
ix_vix_level__price_returns_1m,0.002396182682315743
ix_tnx_yield__price_momentum,0.002229055749577193
ix_tnx_yield__price_returns_1m,0.0022186128586767525
price_returns_3m,0.0021362219295617767
ix_tnx_yield__price_returns_3m,0.0020455516027572842
price_momentum,0.0018945970179174427
