feature,mean_abs_shap
ix_tnx_change_3m__price_returns_6m,0.11714324248387538
days_since_start,0.06470910192826931
ix_tnx_yield__capex_ttm,0.04338960547606961
ix_vix_change_3m__price_returns_6m,0.043262561921739766
ix_vix_level__price_returns_12m,0.036874565929659264
ix_tnx_change_3m__revenue,0.03329023526160236
ix_tnx_yield__revenue,0.030128628624232327
ix_tnx_yield__rev_yoy,0.02939496296788352
adj_close,0.02491591460083812
ix_vix_level__rev_yoy,0.02400763400175883
tnx_yield,0.02370377960722866
ix_tnx_change_3m__rev_accel,0.023625143590098804
ix_vix_change_3m__rev_accel,0.021586286353445682
rev_yoy,0.020376758174725295
ix_vix_change_3m__rev_yoy,0.016981755839792157
ix_vix_level__capex_ttm,0.015210103054943176
ix_tnx_change_3m__price_returns_12m,0.014522316587190087
ocf_ttm,0.014154176240637766
ix_vix_change_3m__price_returns_12m,0.012835164943415517
ix_tnx_yield__price_returns_12m,0.012540944376993738
ix_tnx_change_3m__price_returns_3m,0.012427199064413991
ix_tnx_yield__price_volatility,0.011981346181107376
ix_tnx_change_3m__capex_ttm,0.011398447719717762
price_returns_12m,0.011376540234898936
ix_tnx_change_3m__fcf_ttm,0.010807625856007587
ix_vix_change_3m__fcf_ttm,0.009245368046926411
ix_tnx_change_3m__price_momentum,0.009177567035686314
ix_vix_change_3m__capex_ttm,0.00858145729180333
ix_vix_change_3m__revenue,0.008468534967112121
ix_vix_change_3m__ocf_ttm,0.008109903864561079
ix_tnx_change_3m__price_returns_1m,0.007743040198720224
ix_vix_level__ocf_ttm,0.00741360485972987
ix_tnx_change_3m__price_volatility,0.0071501967876486695
ix_tnx_change_3m__ocf_ttm,0.006870328380297
ix_tnx_yield__fcf_ttm,0.006530943212747012
ix_vix_level__revenue,0.006350804586517963
ix_vix_change_3m__price_volatility,0.005901252902724977
rev_accel,0.0055813812200752305
capex_ttm,0.005285217866051968
month,0.005214626569941134
vix_change_3m,0.005147496984327036
vix_level,0.00492949086416025
price_ma_4q,0.004818230637182495
year,0.004803814696604528
ix_tnx_yield__ocf_ttm,0.004599205020549349
fcf_ttm,0.004503979431413146
revenue,0.00438266205885032
price_volatility,0.004217865970932805
ix_tnx_yield__rev_accel,0.004185874693972656
ix_tnx_yield__rev_qoq,0.003932648587367891
price_to_ma_4q,0.0038065898203431176
ix_vix_level__price_volatility,0.0034417905526042607
ix_vix_level__price_returns_6m,0.003353450533288442
ix_tnx_yield__price_returns_6m,0.0032808637898733783
ix_vix_change_3m__price_momentum,0.003096919880846163
ix_vix_change_3m__price_returns_3m,0.0029602573524884325
ix_vix_level__price_returns_1m,0.002937950806415916
ix_vix_level__rev_accel,0.0027864044830954353
ix_vix_level__price_returns_3m,0.0026437809991986384
ix_tnx_change_3m__rev_yoy,0.002603056812578952
ix_vix_change_3m__rev_qoq,0.0025093647968521603
ix_vix_level__fcf_ttm,0.002444153879395571
ix_tnx_yield__price_returns_3m,0.0019677066432411284
tnx_change_3m,0.0019029122086751673
ix_tnx_change_3m__rev_qoq,0.0018513812691495302
price_returns_6m,0.0018215235775240195
quarter,0.001441324762017643
rev_qoq,0.0012961556806349664
ix_vix_level__price_momentum,0.001277186173494806
price_returns_1m,0.0011662260492848766
price_returns_3m,0.0011619774927313655
ix_vix_level__rev_qoq,0.0011418228678289398
ix_tnx_yield__price_momentum,0.0011251811931776825
ix_vix_change_3m__price_returns_1m,0.001010192760375281
ix_tnx_yield__price_returns_1m,0.0009377957921230018
price_momentum,0.0009170896127845551
